date,link,title
2017-01-16 00:06:00,cz/clanky/projev-prezidenta-republiky-pri-udeleni-vyznamenani-vojenským-veteranum-royal-air-force-a-britských-pozemnich-sil-ceskoslovenskeho-puvodu.htm,Projev prezidenta republiky při udělení vyznamenání vojenským veteránům Royal Air Force a britských pozemních sil československého původu
2017-01-16 00:06:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-po-audienci-u-kralovny-velke-britanie-a-severniho-irska.htm,Projev prezidenta republiky při tiskové konferenci po audienci u královny Velké Británie a Severního Irska
2017-01-14 00:06:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-k-ukonceni-navstevy-jihoceskeho-kraje-181091.htm,Projev prezidenta republiky při tiskové konferenci k ukončení návštěvy Jihočeského kraje
2017-01-12 00:06:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-se-zastupiteli-jihoceskeho-kraje.htm,Projev prezidenta republiky při setkání se zastupiteli Jihočeského kraje
2017-01-07 00:06:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-s-vietnamským-prezidentem-275808.htm,Projev prezidenta republiky při tiskové konferenci s vietnamským prezidentem
2017-01-06 00:06:00,cz/clanky/projev-prezidenta-republiky-na-cesko-vietnamskem-obchodnim-foru----459294.htm,Projev prezidenta republiky na Česko-vietnamském obchodním fóru   
2017-01-31 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-zahajeni-veletrhu-idet-v-brne-577103.htm,Projev prezidenta republiky při zahájení veletrhu IDET v Brně
2017-01-29 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-se-cleny-zastupitelstva-jihomoravskeho-kraje.htm,Projev prezidenta republiky při setkání se členy Zastupitelstva Jihomoravského kraje
2017-01-27 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-prevzeti-symbolickeho-klice-od-obce-lidice.htm,Projev prezidenta republiky při převzetí symbolického klíče od obce Lidice
2017-01-24 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-tiskem-u-prilezitosti-navstevy-singapurskeho-prezidenta-v-cr.htm,Projev prezidenta republiky při setkání s tiskem u příležitosti návštěvy singapurského prezidenta v ČR
2017-01-17 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-zahajeni-seminare-“seminar-on-tourism-and-investment”.htm,Projev prezidenta republiky při zahájení semináře “Seminar on Tourism and Investment”
2017-01-15 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-diskusnim-kulatem-stolu-fora-„one-belt-one-road“.htm,"Projev prezidenta republiky při diskusním kulatém stolu fóra „One Belt, One Road“"
2017-01-14 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-foru-one-belt-one-road.htm,"Projev prezidenta republiky při fóru One Belt, One Road"
2017-01-08 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-jmenovani-nových-generalu-638008.htm,Projev prezidenta republiky při jmenování nových generálů
2017-01-02 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-otevreni-institutu-informatiky-robotiky-a-kybernetiky-466876.htm,"Projev prezidenta republiky při otevření institutu informatiky, robotiky a kybernetiky"
2017-01-25 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-slavnostnim-podpisu-prihlasky-cov-na-xxiii-zimni-olympijske-hry-713840.htm,Projev prezidenta republiky při slavnostním podpisu přihlášky ČOV na XXIII. zimní olympijské hry
2017-01-20 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-ucastniky-slavia-international-cupu-2017-351157.htm,Projev prezidenta republiky při setkání s účastníky Slavia International Cupu 2017
2017-01-19 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-predani-oceneni-vitezum-souteze-salon-vin-325312.htm,Projev prezidenta republiky při předání ocenění vítězům soutěže Salon vín
2017-01-18 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-navsteve-vysoke-skoly-financni-a-spravni-401967.htm,Projev prezidenta republiky při návštěvě Vysoké školy finanční a správní
2017-01-07 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-k ukonceni-navstevy-stredoceskeho-kraje-850899.htm,Projev prezidenta republiky při tiskové konferenci k ukončení návštěvy Středočeského kraje
2017-01-04 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-jmenovani-ministra-prumyslu-a-obchodu-548703.htm,Projev prezidenta republiky při jmenování ministra průmyslu a obchodu
2017-01-28 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-pri-statni-navsteve-chorvatske-republiky-333232.htm,Projev prezidenta republiky při tiskové konferenci při státní návštěvě Chorvatské republiky
2017-01-23 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-prijeti-finalistu-xxiv-rocniku-ankety-zlaty-amos-697111.htm,Projev prezidenta republiky při přijetí finalistů XXIV. ročníku ankety Zlatý Ámos
2017-01-22 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-k ukonceni-navstevy-olomouckeho-kraje-166068.htm,Projev prezidenta republiky při tiskové konferenci k ukončení návštěvy Olomouckého kraje
2017-01-20 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-predstaviteli-olomouckeho-kraje-a-vybranými-starosty-689472.htm,Projev prezidenta republiky při setkání s představiteli Olomouckého kraje a vybranými starosty
2017-01-14 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-jmenovani-predsedkyne-akademie-ved-cr-66917.htm,Projev prezidenta republiky při jmenování předsedkyně Akademie věd ČR
2017-01-10 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-316826.htm,Projev prezidenta republiky při tiskové konferenci
2017-01-09 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-výrocnim-koncertu-„muj-ctvrty-rok-s-vami“.htm,Projev prezidenta republiky při výročním koncertu „Můj čtvrtý rok s Vámi“
2017-01-03 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-k-ukonceni-navstevy-karlovarskeho-kraje-647606.htm,Projev prezidenta republiky při tiskové konferenci k ukončení návštěvy Karlovarského kraje
2017-01-01 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-se-cleny-zastupitelstva-karlovarskeho-kraje-a-starosty-mest-a-obci-karlovarskeho-kraje-420412.htm,Projev prezidenta republiky při setkání se členy Zastupitelstva Karlovarského kraje a starosty měst a obcí Karlovarského kraje
2017-01-23 00:02:00,cz/clanky/projev-prezidenta-republiky-pri-prevzeti-ceny-m-r-stefanika.htm,Projev prezidenta republiky při převzetí ceny M. R. Štefánika
